id	nom	typeLibelle	typeCode	rangChallenges	milliardaireForbes	mediaType	mediaPeriodicite	mediaEchelle	commentaire	ACPMdiffusion	wikidataId
209	L’Est républicain	Média	3			GPE	Quotidien	Régional		106791	Q3052319
210	Le Républicain lorrain	Média	3			GPE	Quotidien	Régional		85467	Q3226748
211	DNA	Média	3			GPE	Quotidien	Régional			Q381431
212	Vosges Matin	Média	3			GPE	Quotidien	Régional		30384	Q3563155
213	L’Alsace	Média	3			GPE	Quotidien	Régional		58235	Q1398234
214	Le Bien public	Média	3			GPE	Quotidien	Régional		33231	Q3220437
215	Le Journal de Saône-et-Loire	Média	3			GPE	Quotidien	Régional		44546	Q3223737
216	Le Progrès	Média	3			GPE	Quotidien	Régional		148332	Q10977
217	Le Dauphiné libéré	Média	3			GPE	Quotidien	Régional		169494	Q2642655
218	Vaucluse Matin	Média	3			GPE	Quotidien	Régional			Q28869883
219	Le Journal de la Haute-Marne	Média	3			GPE	Quotidien	Régional		17583	Q3223743
220	Fondation Varenne	Personne morale	2								Q60850619
221	Famille Saint-Cricq	Personne physique	1								
222	Groupe La Montagne	Personne morale	2								Q2944761
223	La Montagne	Média	3			GPE	Quotidien	Régional		134640	Q3210777
224	Le Populaire du centre	Média	3			GPE	Quotidien	Régional		26395	Q3225791
225	Le Journal du centre	Média	3			GPE	Quotidien	Régional		19513	Q3223762
226	Le Berry républicain	Média	3			GPE	Quotidien	Régional		24462	Q3220419
227	L’Yonne Républicaine	Média	3			GPE	Quotidien	Régional		21677	Q3204855
228	L’Echo Républicain	Média	3			GPE	Quotidien	Régional		21064	Q3205163
229	Courrier du Loiret	Média	3			GPE	Hebdomadaire	Régional		4134	Q16653605
230	L’Eclaireur du Gâtinais	Média	3			GPE	Hebdomadaire	Régional		12450	Q16651426
231	Régional de Cosne	Média	3			GPE	Hebdomadaire	Régional		4417	
232	L’Echo Charitois	Média	3			GPE	Hebdomadaire	Régional			
233	Pays Roannais	Média	3			GPE	Hebdomadaire	Régional		12700	Q21027410
234	La Liberté	Média	3			GPE	Hebdomadaire	Régional			
235	Journal de Gien	Média	3			GPE	Hebdomadaire	Régional		10158	Q3223722
236	La République du Centre	Média	3			GPE	Quotidien	Régional		24726	Q3212596
237	Groupe NRCO	Personne morale	2								Q3345182
238	Nouvelle République du Centre	Média	3			GPE	Quotidien	Régional		141424	Q3211144
239	Centre Presse	Média	3			GPE	Quotidien	Régional		16236	Q2944867
240	TV Tours	Média	3			Télévision		Régional			Q3512629
241	Famille Baylet	Personne physique	1								Q109024455
